id,title,year,review,isbn,cover,download_link,purchase_link
1," 世界上最简单的会计书 ",2013," 会计难吗？不，一点儿也不！只要你看过这本书。<br><br>创业者、投资者、企业家、老板、有抱负的经理人、会计的好奇者……速速看过来！<br><br>本书以一个小男孩开设柠檬汁摊为背景，阐述了最基本的会计原理和方法。读者可在小男孩制作广告招牌、向妈妈借钱、从杂货店买糖和柠檬、卖柠檬汁给邻居和同学们的过程中，一步步了解资产、负债、盈余、存货、应付账款等专业名词。<br><br>## 作者简介  · · · · · ·<br><br>达雷尔·穆利斯（Darrel Mullis）<br><br>担任EDI公司的培训与开发部经理长达12年。他讲授EDI的学习技巧，并为培训者开发出一套培训教程。穆利斯通过300多个成功的会计游戏研讨班，为数千名美国人进行了财务知识的培训。穆利斯与他四个女儿目前居住在科罗拉 多州的路易斯维尔市。<br><br>朱迪斯·奥洛夫（Judith Orloff）<br><br>在过去的25年里，朱迪斯·奥洛夫通过认识自我意识和教育一直在帮助人们改变生活。她的最伟大成就之一便是在佛蒙特州建立了柏灵顿学院，在那里她还开设了人际心理学的学士学位课程。此外，奥洛夫还是教育新发现公司（EDI）的创始人。 ","9787111442585    ",https://jgww.oss-cn-beijing.aliyuncs.com/img/20240611233937.png,暂不提供下载,"  "
2," 让数字说话：审计，就这么简单 ",2005," 审计真的是那样枯燥无味吗？作者以浅显易懂的语言、幽默诙谐的比喻和旁征博引的故事引领我们开启一段奇妙的阅读旅程。从审计的本源到审计结果，从审计的思考方法到工作底稿、风险控制，甚至会计科目，作者都有自己透彻的理解和独到的看法。<br><br>如果你有兴趣认真阅读这本书，可以慢慢将它从头读到尾，理解其中的意思。<br><br>如果你只打算看看热闹，可以快速把这本书翻完，只要你能将里面讲的那些故事及其表达的想法理解并记住，这本书你也就看了个七七八八。<br><br>当然，你也可以把它当做一本工具书，在审计工作的时候，可以随时拿出来查一下每个科目要做哪些审计步骤，基本上也可以把要做的科目的审计工作完成。 ","9787111530817    ",https://jgww.oss-cn-beijing.aliyuncs.com/img/20240611234030.png,暂不提供下载," https://item.jd.com/13819553.html "
3," 审计学：一种整合方法 ",2009," 《审计学:一种整合方法(第12版)》是美国最经典的现代审计学教材之一，被公认为系统学习和全面掌握现代西方特别是美国审计理论和实务的最佳图书，为全球多所著名大学采用。该书由于首次提出并倡导“切块审计”的思想而备受审计理论界、教育界和实务界推崇。在中国，该书曾受我国已故著名会计学家杨时展先生的高度重视、推介和运用，并组织了最初的引介和翻译工作。中国人民大学出版社同时推出了该书最新版的双语教学版和中文翻译版。<br><br>《审计学:一种整合方法(第12版)》从审计职业、审计过程、审计过程在销售与收款循环中的应用、审计过程在其他循环中的应用、完成审计工作、其他保证和非保证服务六个方面入手，主要关注财务报表审计和财务报告内部控制审计中的审计决策过程，强调将审计和其他保证服务的重要概念与相关实务结合起来，以帮助读者理解审计决策与证据收集的逻辑方式。《审计学：一种整合方法》第12版在之前版本的基础上．纳入了最新风险评估准则和与治理层沟通相关的新准则（SASS112—114）：整合了《萨班斯一奥克斯利法案》包括404条款和上市公司会计监督委员会（PCAOB）的第2号审计准则的相关要求。 ","9787300101590    ",https://jgww.oss-cn-beijing.aliyuncs.com/img/20240611233915.png,暂不提供下载,"  "
4," 索耶内部审计：现代内部审计实务 ",2005," 本书从七个方面、分三十一章全面地阐述了内部审计的定义、性质、方法、所采用的最新技术以及如何对内部审计活动进行管理和控制。 ","9787500582724    ",https://jgww.oss-cn-beijing.aliyuncs.com/img/20240611233740.png,暂不提供下载,"  "
5," 发现利润区 ",2018," 《发现利润区》是经典管理类图书，长销20年。作者是哈佛商学院工商管理硕士，哈佛法学院法学博士。美世咨询公司前副总裁，美国知名咨询顾问，畅销书作家。<br><br>追逐利润是企业的天然基因，《发现利润区》的目的就是揭开盈利的奥秘。《发现利润区》为读者提供了22种盈利模式，12家公司案例，帮助管理者避免无利润黑洞，始终赢利。<br><br>【内容简介】<br><br>盈利能力是企业面临的首要问题。《发现利润区》作者认为，对于公司而言，环境在变，利润区也随之转移，对于每一个客户群体而言，昔日的奇思妙想正转变为今日的普遍认知。为了适应这一变化，我们要创新固有的企业设计，为盈利模式设计出清晰的计划和机制，并掌握建立盈利模式的方法。<br><br>《发现利润区》总结了22种盈利模式，并详细地介绍了12家拥有持续创造优异业绩能力的企业及其领导者的利润策略和企业设计经验，以帮助我们能够超越经济周期和技术周期，避免无利润区这个黑洞，使企业始终处在利润区之内。书中还提供了相关的利润手册，方便企业识别客户偏好，降低失误风险，进而找到利润区。 ","9787508681719    ",https://jgww.oss-cn-beijing.aliyuncs.com/img/20240611233622.png,暂不提供下载," https://item.jd.com/12368813.html "
6," 追逐日光 ",2007," 时年53岁的尤金·奥凯利正处于人生和事业的巅峰。他担任着毕马威会计师事务所（KPMG）的董事长和首席执行官，这家公司也是全美最大的会计师事务所之一。他事业蒸蒸日上，生活美满，妻子、孩子、家庭和好友都让他感到欢欣愉悦。他也在脑中企划更美好的未来：准备下一次商务旅行，永续公司的长青基业，安排和妻子在一起的周末活动，参加女儿初二的开学仪式。<br><br>然而，仿似晴天霹雳，在2005年5月，尤金·奥凯利被诊断为脑癌晚期，最多还能活上3到6个月。命运就是这般无常。他原本想象中的光明未来一下子就蒙上了阴影。他必须当机立断、改弦易辙，修改他原来的人生计划，拿出在高尔夫球场上为有多一点的打球时间而不时追逐日光的精神，好好把握住所剩无几的有生之日。<br><br>这本书正是尤金·奥凯利人生最后旅程的告白。从得到确诊的消息到他辞世中间只有不到4个月，但是其中所记述的心路历程却让人久久难忘。 ","9787508607795    ",https://jgww.oss-cn-beijing.aliyuncs.com/img/20240611233510.png,暂不提供下载,"  "
7," 市场营销 ",2022," 本书堪称市场营销学的百科全书，22个章节全面覆盖市场营销的方方面面，帮助读者体系化地搭建起市场营销的知识架构。全书穿插海量经典案例，并将互联网时代的新实战融入其中，用故事教读者把先进理念实操落地。<br><br>☆ 本书是世界上应用范围广泛的市场营销教材，被翻译成十几种语言畅销全球。除了作者亲自教导过的十几万名学生，还有超过100万名学生从中受益，40年来更新改版12次，可谓经得起时间和市场检验的硬核经典。 ","9787522509723    ",https://jgww.oss-cn-beijing.aliyuncs.com/img/20240611233339.png,暂不提供下载," https://item.jd.com/13602881.html "
8,财务诡计：如何识别财务报告中的会计诡计和舞弊（原书第4版）,2019,书评暂无,9.79E+12,https://www.freeimg.cn/i/2024/06/11/666732111d2e6.png,暂不提供下载,https://item.jd.com/53031443017.html
9,Excel会计和财务实战技巧精粹,,书评暂无,9.79E+11,https://www.freeimg.cn/i/2024/06/11/666732f91e5aa.png,暂不提供下载,https://item.jd.com/10095882886391.html
10,"Using SAP : an introduction for beginners and business users",2017,书评暂无,1493214055,https://www.freeimg.cn/i/2024/06/11/6667337081256.png,暂不提供下载,https://item.jd.com/58891388482.html
12,债：5000年债务史,2021,"这是一本由人类学家回应2008年以来金融危机和债务危机的著作。在书中，作者通过“债”这个切入点，以人类学、历史学、社会学的视角揭示5000年来（从文明的初始到全球负债时代）人类的行动规律，债、货币、工作、信用、增长和经济概念本身都是我们开始重新想象的基石。 传统经济学认为，人类从以物易物开始，继而出现货币，货币让人类生活变得更加方便，然后发展出信用体系。大卫·格雷伯对此发起了挑战，分别从货币产生的原因、顺序、目的进行了反常识的思考：货币并不是以“易物”替代者的形式出现的，而是埃及或苏美尔的神职人员为更有效地收税或计算财富而创造出来的。他认为，人类在5000年前已经使用复杂的信用体系而不仅是物物交换来进行商品交易。是金钱让责任和义务变成债务，价格概念和冷漠的市场吞噬了人类彼此关爱的本性。 格雷伯推翻了很多债务领域的经典预设，将5000年的债务史划分出五个阶段：早期的农业帝国（公元前3500—公元前800年）、轴心时代（公元前800—600年）、中世纪（600—1450年）、资本主义帝国时期（1450—1971年）和当今的金融世界（1971年—）。在这些不同的时期，格雷伯认为虚拟货币重复着“出现、消失、再出现、再消失”的状态。 格雷伯认为，一旦我们从道德层面理解了债务的社会起源，就会从多角度处理债务问题，如抵押贷款、信用卡债务、学生贷款，还有国家的债务。作者提出了批判性的解决方案：免除所有国际间的和消费者的债务，并提醒人们还债并非道德核心。富人之间或者国家之间的债务常常会通过重新谈判解决，这几乎贯穿整个世界史。",7521714261,https://www.freeimg.cn/i/2024/06/11/666734a3f275e.png,暂不提供下载,https://item.jd.com/13130462.html
13,中小企业财税一本通（第3版）,2018,书评暂无,9.79E+12,https://img14.360buyimg.com/n0/jfs/t17164/60/2310883228/169822/ba5acac8/5af13977N586548d2.jpg.avif,暂不提供下载,https://item.jd.com/12347697.html
test,test,test,test,test,https://jgww.oss-cn-beijing.aliyuncs.com/img/20240627104831.png,test,test
